sectorClassification_idPk,Services_idPk
4,2
6,2
11,2
6,3
18,3
6,4
18,5
4,6
18,6
4,7
18,7
4,8
6,8
18,8
4,9
6,9
18,9
18,10
4,11
6,11
18,11
4,12
18,12
4,13
6,13
18,13
4,14
6,14
18,14
18,15
18,16
18,20
6,21
6,22
6,23
18,24
18,25
6,26
6,27
18,27
18,28
18,29
18,30
11,31
18,32
4,33
18,34
18,35
18,36
18,37
18,38
18,39
18,40
18,41
6,42
18,42
6,43
18,44
18,45
18,46
4,47
18,48
18,49
18,50
18,51
11,52
11,53
18,54
18,55
18,56
18,57
18,58
18,59
18,60
18,61
18,62
18,63
18,64
6,65
6,66
6,67
6,68
6,69
6,70
6,71
6,72
6,73
6,74
6,75
6,76
6,77
6,78
6,79
18,81
18,82
18,83
11,84
18,84
18,85
18,86
18,87
18,88
18,89
