"idPk";"name";"description"
1;"Social y de Lucha contra la Pobreza";"Social y de Lucha contra la Pobreza"
2;"Ambiente, Energìa y Telecomunicaciones";"Ambiente, Energìa y Telecomunicaciones"
3;"Coordinación Gubernamental";"Coordinación Gubernamental"
4;"Salud";"Salud"
5;"Financiero";"Financiero"
6;"Educativo";"Educativo"
7;"Productivo";"Productivo"
8;"Política Monetaria y Supervisión Financiera";"Política Monetaria y Supervisión Financiera"
9;"Infraestructura y Transporte";"Infraestructura y Transporte"
10;"Seguridad Ciudadana y Prevención del Delito";"Seguridad Ciudadana y Prevención del Delito"
11;"Municipal";"Municipal"
12;"Trabajo y Seguridad Social";"Trabajo y Seguridad Social"
13;"Turismo";"Turismo"
14;"Cultural";"Cultural"
15;"Política Exterior";"Política Exterior"
16;"Comercio Exterior";"Comercio Exterior"
17;"Tecnología";"Tecnología"
18;"Sin clasificación";"Sin clasificación"
